nome_microrregiao,PIB_x,pct_x,PIB_pc_x,PIB_y,pct_y,PIB_pc_y
João Pessoa,14855518.0,44.32,13637.953333333333,30890553.0,39.870000000000005,28764.841666666664
Campina Grande,5665249.0,16.900000000000002,7409.0525,11939764.0,15.42,14664.94625
Sousa,1155334.0,3.4299999999999997,5147.5,2791744.0,3.61,12048.941176470587
Cajazeiras,1115687.0,3.34,5304.678666666666,2522302.0,3.24,11623.915333333334
Guarabira,995917.0,2.97,5067.422142857143,2978417.0,3.85,12007.952142857144
Patos,964941.0,2.88,5538.549999999999,2297404.0,2.9499999999999997,12154.147777777778
Litoral Norte,913371.0,2.72,6258.971818181818,2205056.0,2.85,13335.626363636366
Litoral Sul,885528.0,2.64,10582.445,4853694.0,6.27,58461.4875
Brejo Paraibano,675148.0,2.02,6298.65,1457664.0,1.88,12741.535
Sapé,660160.0,1.96,4787.843333333333,1685909.0,2.18,11966.59888888889
Cariri Ocidental,648380.0,1.9400000000000002,5344.031764705883,1698123.0,2.18,12045.836470588236
Catolé do Rocha,639930.0,1.91,5031.527272727273,1698171.0,2.19,12109.289090909091
Curimataú Ocidental,630660.0,1.8800000000000001,5173.765454545454,1413887.0,1.81,10695.305454545454
Itabaiana,537445.0,1.62,4908.1177777777775,1327895.0,1.7,11627.012222222222
Serra do Teixeira,507765.0,1.51,4334.263636363637,1190034.0,1.53,9358.312727272727
Itaporanga,423654.0,1.27,4892.277272727273,959822.0,1.24,10389.136363636364
Curimataú Oriental,421308.0,1.26,4496.6671428571435,1003448.0,1.3,9870.812857142857
Seridó Oriental Paraibano,363005.0,1.08,4984.164444444444,833807.0,1.07,10195.91
Piancó,347810.0,1.04,4817.811111111111,858106.0,1.11,11242.234444444444
Cariri Oriental,343928.0,1.02,5422.314166666666,889928.0,1.15,12857.311666666666
Esperança,324114.0,0.96,5006.4175,730870.0,0.94,10637.6575
Umbuzeiro,226653.0,0.6799999999999999,4223.308,496452.0,0.64,9276.764
Seridó Ocidental Paraibano,220985.0,0.65,5461.78,747279.0,0.96,16625.183333333334
