regiao;pip;pop
Brejo Paraibano;675148.0;50389.20
Cajazeiras;1115687.0;79570.18
Campina Grande;5665249.0;59272.42
Cariri Ocidental;648380.0;90848.54
Cariri Oriental;343928.0;65067.77
Catolé do Rocha;639930.0;55346.80
Curimataú Ocidental;630660.0;56911.42
Curimataú Oriental;421308.0;31476.67
Esperança;324114.0;20025.67
Guarabira;995917.0;70943.91
Itabaiana;537445.0;44173.06
Itaporanga;423654.0;53815.05
João Pessoa;14855518.0;81827.72
Litoral Norte;913371.0;68848.69
Litoral Sul;885528.0;42329.78
Patos;964941.0;49846.95
Piancó;347810.0;43360.30
Sapé;660160.0;43090.59
Seridó Ocidental Paraibano;220985.0;32770.68
Seridó Oriental Paraibano;363005.0;44857.48
Serra do Teixeira;507765.0;47676.90
Sousa;1155334.0;87507.50
Umbuzeiro;226653.0;21116.54
